AAABAABAACAA,AAABAABAACAAA,S.E.E.ES..
AAABBBBABACAAAA,AAABBBBABACAAAAA,E...SEESS.
AAABBAAABCAAAAB,AAABBAAABCAAAABB,..S.....S.
AAABBABABBBCC,AAABBABABBBCCA,E..S.EE..E
AAABAABBBAABCA,AAABAABBBAABCAB,...E..SE..
AAAAAAAABCA,AAAAAAAABCAB,E...EE....
AAABBBACCAABBAA,AAABBBACCAABBAAC,S....S.ES.
AAABAACAAAACAC,AAABAACAAAACACA,.ESE..S...
AAAAAAAAAAABCBC,AAAAAAAAAAABCBCA,...E......
AAAABAAAAAAABAB,AAAABAAAAAAABABC,.....S....
AAABBBACCAABAA,AAABBBACCAABAAA,....E.....
AAAABAABCABCCA,AAAABAABCABCCAA,.ES.......
AAABAACBABBBA,AAABAACBABBBAB,....EE....
AAAABAABAACABA,AAAABAABAACABAA,S....E..S.
AAABBABABCAABAC,AAABBABABCAABACA,..EE.ESS.E
AAAAAAAABAAACA,AAAAAAAABAAACAB,S......EE.
AAAACAABAABBBAA,AAAACAABAABBBAAB,E.E....E..
AAABBBCABCABBAB,AAABBBCABCABBABB,..ES.SEEEE
AAABBBBABABA,AAABBBBABABAA,E..S...E..
AAAABAAAAAABAAC,AAAABAAAAAABAACB,...E...S..
AAAACAAACBAAC,AAAACAAACBAACC,......ES..
AAABBAAAAACBAAC,AAABBAAAAACBAACA,.....E.EE.
AAABAAAAAAACACA,AAABAAAAAAACACAB,.EE.SS.EE.
AAAABAABAABAAAB,AAAABAABAABAAABB,.SEE..ESE.
AAABBABAABBAAAB,AAABBABAABBAAABB,.E....E...
AAABAABBBABBAAA,AAABAABBBABBAAAB,.....S....
AAABBBBABAAAA,AAABBBBABAAAAB,SE.E..S..E
AAAAAAAAABBBAC,AAAAAAAAABBBACA,..........
AAABAACAABBAAAB,AAABAACAABBAAABA,....S.E...
AAABAACBAACABB,AAABAACBAACABBA,.......E..
AAABBABAAABAAC,AAABBABAAABAACA,.E......EE
AAABBBCABAAABAA,AAABBBCABAAABAAA,E.......S.
AAABAABAABAA,AAABAABAABAAB,.E.....ES.
AAAACAAABBBCBB,AAAACAAABBBCBBC,E........S
AAABAABBBAAABBA,AAABAABBBAAABBAC,..E.ES...E
AAABBBBAABBABAC,AAABBBBAABBABACC,..........
AAABBBACAABAABA,AAABBBACAABAABAB,..S.EE....
AAAACAAACBB,AAAACAAACBBA,.E...E....
AAAACAACBBB,AAAACAACBBBA,.E.E.E....
AAABBCABCBCAAA,AAABBCABCBCAAAB,.E.S.S....
AAAAAAAABBCAAAA,AAAAAAAABBCAAAAB,.E....E...
AAAACAAABABCBA,AAAACAAABABCBAC,E....ES...
AAABAABBBAAACA,AAABAABBBAAACAB,E......EE.
AAABAABABAABA,AAABAABABAABAA,..E....E..
AAABBBBABACAAB,AAABBBBABACAABA,E..S.....E
AAAACABAAABBA,AAAACABAAABBAC,..EEE.E...
AAAACAAABCABABA,AAAACAAABCABABAA,SE.S...E..
AAABBABABBBBACC,AAABBABABBBBACCA,S....E.E..
AAABBBBAAAACCAA,AAABBBBAAAACCAAB,EE.E..EES.
AAABBBACBABBAA,AAABBBACBABBAAB,....E.....
AAABBABABBCAA,AAABBABABBCAAC,SS..S.....
AAAACAAABCAACA,AAAACAAABCAACAA,.S.E.....E
AAABBBACABABAA,AAABBBACABABAAA,.......S..
AAABAABBBBBAABA,AAABAABBBBBAABAA,..E...E..S
AAABAACAAAACAAB,AAABAACAAAACAABA,E....E...E
AAAACAAAACAAAA,AAAACAAAACAAAAA,E.....E...
AAAAAAAAABABBBA,AAAAAAAAABABBBAB,E.SE......
AAAACAAAABABBB,AAAACAAAABABBBA,....EE....
AAABBBACAAAABB,AAABBBACAAAABBB,EE..S...E.
AAAACAACAAAABAA,AAAACAACAAAABAAB,E....E....
AAAACAAAAACBBAA,AAAACAAAAACBBAAC,.SSS....E.
AAABBBCABAAABBA,AAABBBCABAAABBAC,EEEE..E...
AAAAAAAABBBAAAA,AAAAAAAABBBAAAAB,..S.ES....
AAAAAAAABCACAAB,AAAAAAAABCACAABB,...SEE....
AAABAABABAABBBC,AAABAABABAABBBCC,......S.E.
AAABBCABBABAAA,AAABBCABBABAAAA,..........
AAAAAAAAACBCABC,AAAAAAAAACBCABCB,.....SEE..
AAABBBACAACAACA,AAABBBACAACAACAB,..E.S.....
AAAACAAAAABACAB,AAAACAAAAABACABB,E..EESS...
AAAABAABCABBBBB,AAAABAABCABBBBBB,E..E......
AAABBAAABBBAAAA,AAABBAAABBBAAAAA,.........E
AAAAAABABAAACAB,AAAAAABABAAACABB,...ESE..EE
AAABBABABCBAAAA,AAABBABABCBAAAAA,.EEEEEE...
AAAACAACBABBAB,AAAACAACBABBABB,E.........
AAABAABAABAAC,AAABAABAABAACA,......SS..
AAAACAAAAAAAABB,AAAACAAAAAAAABBA,.EEEE...E.
AAAAAAAABCABAA,AAAAAAAABCABAAB,SE..S..E..
AAABBBCBABAAA,AAABBBCBABAAAB,.E.SS.E.E.
AAABBBACBCCCA,AAABBBACBCCCAC,..E...S.EE
AAABBABABBBBABA,AAABBABABBBBABAB,S.EEE.E.EE
AAAACAACBBAAABA,AAAACAACBBAAABAA,..SE..S...
AAABAAAAACAAA,AAABAAAAACAAAA,..........
AAAACAAABCAAB,AAAACAAABCAABB,........E.
AAAABAABAAB,AAAABAABAABA,.E.E..S...
AAABBBBAAAACBBC,AAABBBBAAAACBBCB,.......E.S
AAABBAAABCBABA,AAABBAAABCBABAB,.E.EE...S.
AAAACAAAACACBAB,AAAACAAAACACBABA,.....EES..
AAABBBACBBAACBB,AAABBBACBBAACBBB,.E.E...SE.
AAABBBACBCABAAC,AAABBBACBCABAACA,E.E.EE..SS
AAAABAABCBBAACC,AAAABAABCBBAACCB,E..E.E..SE
AAAACAAACABBAC,AAAACAAACABBACA,...E...SE.
AAAABAABAAABCAB,AAAABAABAAABCABB,......SE.E
AAAACAABAABBA,AAAACAABAABBAA,E......SEE
AAAACAAABABCCCB,AAAACAAABABCCCBA,..EE......
AAABBBABABAA,AAABBBABABAAB,.S.E.S.E.E
AAABBAAABAAA,AAABBAAABAAAC,.S.S.....S
AAAACAAAAABACCA,AAAACAAAAABACCAB,ES.ES....E
AAAACAAACAAAACC,AAAACAAACAAAACCB,E..EEE.E..
AAABBBCBABABBA,AAABBBCBABABBAB,....E.E.S.
AAABBCABAA,AAABBCABAAA,...SE..S..
AAABAABBBAAABC,AAABAABBBAAABCA,.E..EESES.
AAABBAAABCBABA,AAABBAAABCBABAC,EE..ES...S
AAABBBBACAAABBB,AAABBBBACAAABBBC,E.....E.S.
AAABBAAABBABACA,AAABBAAABBABACAB,.E.E...E.E
AAAACAACBACAAAA,AAAACAACBACAAAAA,.......SS.
AAABBAAABCCABAA,AAABBAAABCCABAAA,S..E..E.EE
AAABBBBAAAACAAB,AAABBBBAAAACAABA,......E..S
AAABAABBBABAAAA,AAABAABBBABAAAAA,EE..SE.E.E
AAABAACBAAAABB,AAABAACBAAAABBA,.E....EE..
AAABBBAAA,AAABBBAAAB,.EE..ES..E
AAABBABABCABC,AAABBABABCABCA,..E.S.S...
AAABBBBAABBB,AAABBBBAABBBA,.SESE.....
AAABBBAAABBCAB,AAABBBAAABBCABB,...SSS....
AAAAAABAABCCAA,AAAAAABAABCCAAA,....S....E
AAABAABBAAAAA,AAABAABBAAAAAB,ESE.....E.
AAABBABABCABBA,AAABBABABCABBAA,S.S....E..
AAABBCABCBAAAA,AAABBCABCBAAAAA,.E........
AAAABAABAAABAAA,AAAABAABAAABAAAB,........ES
AAABBBBACAAABBB,AAABBBBACAAABBBB,.S.E......
AAAAAAAABBBBABB,AAAAAAAABBBBABBA,ES.E.EE..E
AAABBCBABAAAABB,AAABBCBABAAAABBA,.ESS.SE.SE
AAABBCABAABACAA,AAABBCABAABACAAA,.S.......S
AAABBABABCBBAAA,AAABBABABCBBAAAB,.S........
AAAAAABAABBABB,AAAAAABAABBABBB,EE..E....E
AAABBBCAAA,AAABBBCAAAB,..E......S
AAABBBBAAACBAA,AAABBBBAAACBAAC,S........E
AAABBBCABBAACB,AAABBBCABBAACBA,..E..ES...
AAABBCAAAB,AAABBCAAABA,E.........
AAABBCBAAAA,AAABBCBAAAAA,..S..S..ES
AAABAACBAACBA,AAABAACBAACBAB,.E..E.SE..
AAABBBABAABCCA,AAABBBABAABCCAA,E.E...S..E
AAAACAAABABBAAA,AAAACAAABABBAAAB,.E...E.S..
AAAACAAAAABACAA,AAAACAAAAABACAAB,S..E..EE.E
AAABBBBAABAABA,AAABBBBAABAABAB,.S...E.SE.
AAABBCABCAAAAA,AAABBCABCAAAAAA,.E.S...S..
AAABBCABAAACABA,AAABBCABAAACABAA,E..EE.....
AAABAABAAABBAA,AAABAABAAABBAAB,..E...SE..
AAABBABA,AAABBABAB,.E.S..S...
AAABBBABAABBACB,AAABBBABAABBACBA,S...EE.S.E
AAABAACBAACBBA,AAABAACBAACBBAA,.......S.E
AAAABAABCABAABA,AAAABAABCABAABAB,..E....E..
AAABBBACCAABBAB,AAABBBACCAABBABB,.....SE.E.
AAABBBBAAAACA,AAABBBBAAAACAC,.S...ES..E
AAABBCABAAACAB,AAABBCABAAACABA,.SS....E..
AAABAAAAACAAABA,AAABAAAAACAAABAB,S.E.EE....
AAAACAACBACAAAB,AAAACAACBACAAABC,.....S..S.
AAAABAABAAAACA,AAAABAABAAAACAA,...SES....
AAABBBBAABAAABB,AAABBBBAABAAABBB,.S......E.
AAAAAAAABBCBABA,AAAAAAAABBCBABAA,...ES....E
AAAACAACBACAB,AAAACAACBACABC,E..E..SES.
AAABAAAAACABBBB,AAABAAAAACABBBBB,..S..EE...
AAAABAABBBACAAA,AAAABAABBBACAAAA,....S..E..
AAABBBCBABAACCB,AAABBBCBABAACCBA,.S.E....S.
AAAAAAAAAA,AAAAAAAAAAA,EEE...E..S
AAABBABABCAABBC,AAABBABABCAABBCC,..S...E...
AAAACAACBBAAAA,AAAACAACBBAAAAB,.E.SE.....
AAABBBAAABCABA,AAABBBAAABCABAA,SSSS.SES.E
AAABBBCBAAAA,AAABBBCBAAAAA,..E......E
AAABAACBABCACB,AAABAACBABCACBC,S....E..EE
AAABAABABACAABC,AAABAABABACAABCB,EEE.......
AAABBCBAAAAAACC,AAABBCBAAAAAACCB,..E....EE.
AAABAACABABACBB,AAABAACABABACBBC,..E.E.EE.E
AAAACAACBACA,AAAACAACBACAA,....E...E.
AAABAABABABABCA,AAABAABABABABCAB,..........
AAAACAAAABBACCA,AAAACAAAABBACCAB,.....E...E
AAABBAAABAA,AAABBAAABAAB,.E.....S.S
AAABBBCBABACAA,AAABBBCBABACAAC,..S.....EE
AAAACAAAACABCB,AAAACAAAACABCBC,..E...E.S.
AAAAAABACAAAB,AAAAAABACAAABC,E......EEE
AAABBBCBABAAAB,AAABBBCBABAAABA,.SSSEE..EE
AAABBCABCABCBAB,AAABBCABCABCBABB,E...S.....
AAAACAABACAAAAB,AAAACAABACAAAABB,.S.......E
AAABBBACBBCBBCA,AAABBBACBBCBBCAA,E.EESSSE..
AAAACAABABABABA,AAAACAABABABABAB,......SE..
AAABBABABAAABA,AAABBABABAAABAC,EE.EEEEE..
AAABBBABAAACBAA,AAABBBABAAACBAAC,.ES..S....
AAABBCA,AAABBCAA,.E.S.SE...
AAABAABABAAA,AAABAABABAAAA,.......EE.
AAAACAAACABCBC,AAAACAAACABCBCA,S..S.EEE..
AAABBBAAABBCCAA,AAABBBAAABBCCAAB,.E..S.E.ES
AAABAABABAACAAB,AAABAABABAACAABA,..E...E.E.
AAABBABABBBAAA,AAABBABABBBAAAC,...E......
AAABAAAAABAAAA,AAABAAAAABAAAAA,E.SE.E.E..
AAABAACAABBAABC,AAABAACAABBAABCA,E..EE.....
AAABAABAABCAB,AAABAABAABCABA,......E...
AAAABAABAABAAAB,AAAABAABAABAAABC,..E.E..S..
AAAACAAABCACBBB,AAAACAAABCACBBBA,E..EE.....
AAAACAAABABAA,AAAACAAABABAAA,.E.S..E.EE
AAAAAAAABCAAABA,AAAAAAAABCAAABAB,....EE....
AAAACAAABAAAAB,AAAACAAABAAAABA,E.....E.EE
AAABBAAABACABAC,AAABBAAABACABACC,.E.....SE.
AAABBBCABCABB,AAABBBCABCABBA,.E..EE....
AAABBBAAABBAABA,AAABBBAAABBAABAC,SE.EE...E.
AAAABAAAAAAAAAC,AAAABAAAAAAAAACA,S.....E..E
AAAACAAABCABBAA,AAAACAAABCABBAAB,SE...EE...
AAABBBCAAAABCA,AAABBBCAAAABCAB,..E.E.E.SS
AAAAAAAAACCAAAB,AAAAAAAAACCAAABA,.S.....EE.
AAABAACABABBAAB,AAABAACABABBAABC,S..EE..E..
AAAAAAAABBBBAA,AAAAAAAABBBBAAC,E.S..E.E.S
AAABBBACBCBBBA,AAABBBACBCBBBAB,..E..ES..E
AAABBAAABAAAACB,AAABBAAABAAAACBA,SE..EE..E.
AAAACAAAABBAAAA,AAAACAAAABBAAAAA,E..S.EESE.
AAAAAAAABBCCAC,AAAAAAAABBCCACA,.SE....E..
AAABBBBBAAAAAAC,AAABBBBBAAAAAACA,...S.....E
AAAAAAAAACCBCBB,AAAAAAAAACCBCBBA,.EEEE..E..
AAAACAAACAAABAA,AAAACAAACAAABAAA,..S...E...
AAAAAAAAABACCAA,AAAAAAAAABACCAAA,.S..E.E...
AAABAABAAAAAAAB,AAABAABAAAAAAABA,..S.......
AAAACAAACAAABA,AAAACAAACAAABAC,SE.E.SSSE.
AAABAABABAAACBC,AAABAABABAAACBCB,.......E.S
AAABAACABABACBA,AAABAACABABACBAB,E....E.E..
AAAACAAABBABAC,AAAACAAABBABACA,S.SE.E..E.
AAABBCAAAAAACCA,AAABBCAAAAAACCAA,.E......E.
AAABBCAAABCABA,AAABBCAAABCABAA,.........E
AAABBCAAAAACBA,AAABBCAAAAACBAB,.ES..E.EE.
AAAABAABBAA,AAAABAABBAAA,...E......
AAAACAAACABBCBB,AAAACAAACABBCBBA,..........
AAABBCABCABCAB,AAABBCABCABCABA,....E....E
AAABAABBBAABAAB,AAABAABBBAABAABA,E..EE.E..E
AAAAAABACAABAB,AAAAAABACAABABA,...EEES..E
AAABBBACBBAACBA,AAABBBACBBAACBAA,.EE.E..EEE
AAABAACABABAAA,AAABAACABABAAAA,S....E...E
AAABBBAAABBCCA,AAABBBAAABBCCAB,......E.S.
AAAACAAABCACAAB,AAAACAAABCACAABB,E......E..
AAAACAAAACA,AAAACAAAACAA,E.EES...S.
AAABBCAAAAAA,AAABBCAAAAAAC,....E.E...
AAAACAAACBAACC,AAAACAAACBAACCB,....E.....
AAABAACBABCACAA,AAABAACBABCACAAB,.EE...S.E.
AAABBCABCBAA,AAABBCABCBAAB,..E..E.ESE
AAABBCABAAAAAB,AAABBCABAAAAABB,.......EE.
AAAABAABBAAACA,AAAABAABBAAACAC,..E...E..E
AAAACAAAABA,AAAACAAAABAC,...EE.....
AAABBBABABAACAC,AAABBBABABAACACC,..........
AAABBAAABBBBAA,AAABBAAABBBBAAA,.SEE.EE...
AAAABAABBA,AAAABAABBAA,EES..E....
AAAACAAACABBCA,AAAACAAACABBCAA,.EE.EE..E.
AAAABAAAAAABABA,AAAABAAAAAABABAB,..EEE..ES.
AAABBBBBAAAAAA,AAABBBBBAAAAAAA,E.E......S
AAABBCAAAABAA,AAABBCAAAABAAC,.E..S.S..E
AAABBCAAABBAAAA,AAABBCAAABBAAAAB,..S..E....
AAAAAAAACAAACB,AAAAAAAACAAACBC,S.....E.SE
AAAAAABABBAAAB,AAAAAABABBAAABA,.S....S...
AAABBAAAAABBBA,AAABBAAAAABBBAB,.....SS...
AAABBBABABAAAAA,AAABBBABABAAAAAA,.SS.E.E.E.
AAABAACBAABACAB,AAABAACBAABACABA,..E.....E.
AAABAABAACABAAA,AAABAABAACABAAAA,S.EE......
AAABBBACBCCCABA,AAABBBACBCCCABAA,.S..E.E...
AAABAABABAAACA,AAABAABABAAACAB,.E..ES....
AAAABAABBBACAAB,AAAABAABBBACAABB,......E.E.
AAAAAAAAACBCBBB,AAAAAAAAACBCBBBB,....E.SEEE
AAAAAABAABAAAAA,AAAAAABAABAAAAAC,..SS....S.
AAABBBBACBBBAA,AAABBBBACBBBAAA,.E.....S.E
AAABBBACBCBAABC,AAABBBACBCBAABCB,.E.S.E....
AAABBBACCABBAB,AAABBBACCABBABA,........E.
AAABBCABAABABAA,AAABBCABAABABAAA,.E....S..E
AAAACAAABAAABCA,AAAACAAABAAABCAB,..S...SS..
AAABAABAAAAAAAA,AAABAABAAAAAAAAB,..E.....E.
AAABAABAABCAAC,AAABAABAABCAACA,......E..E
AAAABAABCBACCCC,AAAABAABCBACCCCA,EEEE.E...E
AAAACABAAAAABAA,AAAACABAAAAABAAB,...E.ESE.S
AAABBBABABACAA,AAABBBABABACAAA,.E..S.E...
AAABBCABBABBAAA,AAABBCABBABBAAAA,EE.S.E.E..
AAABAAAAACABBAA,AAABAAAAACABBAAA,..SSSSS.E.
AAABAACBBABCBB,AAABAACBBABCBBA,.EE.EE....
AAABBBACCAAAABB,AAABBBACCAAAABBA,..S.EE.SSE
AAABBAAABCAAABB,AAABBAAABCAAABBC,EE..E..SSE
AAABBBACBCCACA,AAABBBACBCCACAB,.....E..E.
AAAAAAAABACAA,AAAAAAAABACAAA,EE.E..E...
AAAACAAABAC,AAAACAAABACA,.E.E......
AAABAACBAAABAB,AAABAACBAAABABA,E.EE....E.
AAABBCABBABAA,AAABBCABBABAAA,E..EE.....
AAABBCABBAAABBB,AAABBCABBAAABBBB,.E.S.S....
AAABBABAAAAAAA,AAABBABAAAAAAAA,......EE..
AAAACAAABBACBAA,AAAACAAABBACBAAA,.....E.ESE
AAABAACBABCCAAA,AAABAACBABCCAAAC,....EES...
AAAACAAAABABBA,AAAACAAAABABBAA,..E......S
AAABBBAAABABCB,AAABBBAAABABCBB,.S.S.E.E..
AAABAACAABBCAAA,AAABAACAABBCAAAC,S.E..S...E
AAABBBBAABAAB,AAABBBBAABAABC,...ES..ESS
AAABBBCBABBAAAA,AAABBBCBABBAAAAA,......E.E.
AAABBCABAAACA,AAABBCABAAACAC,EEE.E..ESE
AAABAACAAAAABB,AAABAACAAAAABBB,SS..EES...
AAABBABABBAAAA,AAABBABABBAAAAA,.S...EES..
AAABBBACBACAAAA,AAABBBACBACAAAAA,..E..EE..E
AAAABAABBBAAACA,AAAABAABBBAAACAA,E.SE...ES.
AAABBCABAAACBAB,AAABBCABAAACBABA,.E....S...
AAABBCBAAAAABAA,AAABBCBAAAAABAAB,.ES....S..
AAAABAABBABAA,AAAABAABBABAAA,..........
AAABAACABAABBAB,AAABAACABAABBABC,E.E.....S.
AAAACAACBACAB,AAAACAACBACABA,.S........
AAAABAABCBCCCAA,AAAABAABCBCCCAAB,SS..EE..SE
AAABAAA,AAABAAAA,.E..E.E..E
AAAACAAACABCA,AAAACAAACABCAA,E.E..EEE..
AAABBAAAAAAAAAA,AAABBAAAAAAAAAAA,.E.E.ESE.E
AAAACAAAABABAAA,AAAACAAAABABAAAA,.ESES...ES
AAABBCABBABAA,AAABBCABBABAAB,...E...S..
AAAACAACAAAAAAC,AAAACAACAAAAAACB,E.EESES...
AAAACAAAABACAAB,AAAACAAAABACAABB,E.S.......
AAABBBACBCBBABB,AAABBBACBCBBABBC,....E.....
AAAABAAABAAABAB,AAAABAAABAAABABA,...E..E...
AAABBBACBCBCABA,AAABBBACBCBCABAB,....E.E...
AAABBBAAABBCBA,AAABBBAAABBCBAA,E....SEE.S
AAABBBCAAAAAB,AAABBBCAAAAABA,EE.EE.EEE.
AAAAAAAAACCBBA,AAAAAAAAACCBBAB,.EE..S....
AAAABAABCBCCBAC,AAAABAABCBCCBACA,..EEE.SS..
AAAAAAAAACBBBA,AAAAAAAAACBBBAA,.EE..E....
AAABBBACABBAABA,AAABBBACABBAABAA,..S.SE..SS
AAABBBBAAAACAB,AAABBBBAAAACABB,.ES.E..E..
AAAACAAABBAABAC,AAAACAAABBAABACA,.E.E.S...E
AAABAACBACAAAAA,AAABAACBACAAAAAB,....EEES..
AAAABAABCCABAAB,AAAABAABCCABAABA,.S.SE.....
AAABBABABBBCB,AAABBABABBBCBC,E....S..S.
AAAACAACBBBBB,AAAACAACBBBBBB,S.E....ES.
AAAAAABAABBA,AAAAAABAABBAA,....E.....
AAABBBCABCAAABB,AAABBBCABCAAABBA,.E........
AAABBBBABACAAAB,AAABBBBABACAAABB,.S....EE..
AAABBBACBBCBACA,AAABBBACBBCBACAB,....E..E..
AAABBAAABBABBAA,AAABBAAABBABBAAA,EEESE.EE..
AAABBCABCABA,AAABBCABCABAA,.E...E...E
AAABBBBACBBBA,AAABBBBACBBBAA,E....E..E.
AAABBBCBAACCAAC,AAABBBCBAACCAACA,..S.E.EE..
AAAACAAAACACC,AAAACAAAACACCB,.....EEE..
AAABAACBAAAAAA,AAABAACBAAAAAAB,...S....EE
AAABAACBABCAABC,AAABAACBABCAABCB,EES.E.S...
AAAAAAAABBAABAB,AAAAAAAABBAABABB,.....E.E.S
AAAAAAAABBABBB,AAAAAAAABBABBBC,..EE......
AAABBBACBABBBBB,AAABBBACBABBBBBA,..E..S.E..
AAABAACBABAAAAC,AAABAACBABAAAACA,SS.....E..
AAABAAAAAA,AAABAAAAAAA,........E.
AAAACAAACBBAAAA,AAAACAAACBBAAAAA,....E..E..
AAABBBBACBAAAB,AAABBBBACBAAABB,S..EE.E..S
AAABBAAABABAAA,AAABBAAABABAAAA,..SS.....E
AAABBBBAAAACCBA,AAABBBBAAAACCBAB,E..E.E...E
AAABBBAAABAAAA,AAABBBAAABAAAAA,EE..E.S...
AAABBABABBBCBBA,AAABBABABBBCBBAB,E..S.E....
AAABBABAB,AAABBABABB,E.E.......
AAABBBACCAABBBB,AAABBBACCAABBBBB,.E.S..S...
AAABAAAAACAB,AAABAAAAACABB,.E...E..E.
AAABBBACCAABAAA,AAABBBACCAABAAAA,.......E.E
AAABBBAAABAAA,AAABBBAAABAAAA,E...E..E..
AAABBABAABAA,AAABBABAABAAC,ES...E.E..
AAABBBACBCBAB,AAABBBACBCBABA,...E....E.
AAAACABAAABAA,AAAACABAAABAAC,...S......
AAABAACAABBABAA,AAABAACAABBABAAA,.E.S..ES..
AAABBBACBCABBAA,AAABBBACBCABBAAB,EE.E..S.S.
AAAACAACBACAA,AAAACAACBACAAA,E.S.EE....
AAAABAABBAAAAA,AAAABAABBAAAAAA,.E..SE.E..
AAABBCAAABABBAC,AAABBCAAABABBACA,EEE...ESEE
AAAABAABAABAABA,AAAABAABAABAABAA,...E.....E
AAABBBAAABABBAA,AAABBBAAABABBAAA,..E.E.S.EE
AAAABAAAAAAABA,AAAABAAAAAAABAB,E.ES.E..ES
AAAACAAABAABAAC,AAAACAAABAABAACA,E......SS.
AAAACAAACAABAAB,AAAACAAACAABAABA,SE....E...
AAABAACBABC,AAABAACBABCA,..SE..E...
AAABBBACAACAB,AAABBBACAACABC,E..E..ESE.
AAABAACBAACAB,AAABAACBAACABB,S....ESE..
AAAABAABBACAAAA,AAAABAABBACAAAAC,.....E....
AAABBBACAAAABBB,AAABBBACAAAABBBB,E.EEEES...
AAABBBBAABAABCC,AAABBBBAABAABCCA,E..S..E...
AAABAACBBAAABA,AAABAACBBAAABAA,EE...E..E.
AAABBBBAAABBAA,AAABBBBAAABBAAA,......E..E
AAABBABAAAAAAAA,AAABBABAAAAAAAAB,E.S...E..E
AAABBCBABAAAAAC,AAABBCBABAAAAACB,SSE.E.....
AAAAAAAAACCACBB,AAAAAAAAACCACBBB,......E...
AAABBBBAABBB,AAABBBBAABBBB,....S...E.
AAABAABAAAAAAC,AAABAABAAAAAACA,....S...E.
AAAAAAAAACCCC,AAAAAAAAACCCCB,.........E
AAABBBACAACACA,AAABBBACAACACAB,.S.SE.E..S
AAABBCABAABAAC,AAABBCABAABAACC,..E.EE...E
AAABBBCBABACBAA,AAABBBCBABACBAAC,.E.......E
AAAABAABAABAAB,AAAABAABAABAABA,..........
AAAAAAAABBCAACA,AAAAAAAABBCAACAC,S...S.ESSE
AAAABAABBAAABCC,AAAABAABBAAABCCB,....E.E.S.
AAABBCBAAAAABA,AAABBCBAAAAABAB,.ES......E
AAABBBACBCAAABB,AAABBBACBCAAABBB,...E..E...
AAABAACABABAC,AAABAACABABACC,.....E...E
AAAABAABAAAACBB,AAAABAABAAAACBBC,..S..SE.E.
AAABBBBAAACCAC,AAABBBBAAACCACB,.....E..E.
AAAACAACBABAAC,AAAACAACBABAACA,E.SS......
AAABAACBBABAAA,AAABAACBBABAAAB,....EE.E.E
AAABBBACBBAAABC,AAABBBACBBAAABCC,..SS......
